"","eidid","eid_name","data_quality","path_genus","path_species","path_common","path_subgroup","path_disease","event_location","map_type","no_map_objects","sourcenotes_original","sourcenotes_ceisin","transtype_zoo_t","transtype_zoo_pd","zoo_origin","zoo_origin_type","path_type","transmode_descrip","transmode_1_descrip","transmode_1_contact","transmode_2_code","transmode_3_code","transtype_human","path_acquisition","path_vector","event_date","event_year","event_decade","event_ref","event_type","drivers_ref","drivers","driver_1","driver_1_iom","driver_1_pd","driver_pd_reclass","driver_2","driver_3","path_reservoir","path_georange","path_hosteffect","eid_ref","notes","geo_data_qual_1","geo_data_qual_12","yr1","yr2","filename","wildlife_zoonoses"
"139",139,"HED_139",1,"Encephalitozoon","intestinalis","Unspecified","Unspecified","Unspecified","NYC/NJ. Nikki rechecked and suggested to use Newark, NY","1",1,"GGv2. ""Newark, NJ, USA""","GGv2. ""Newark, NJ, USA""","no",0,0,0,"protozoa","fecal-oral transmission; be transmitted by ingestion of contaminated water; Ingestion and inhalation of spores have been suggested as likely modes of transmission for microsporidia","ingestion of contaminated foods","indirect contact","ingestion of contaminated water","inhalation of spores","","","None","1990",1990,"1990","AIDS 1992 6:1143-50. Human Path 1992 23:722-8","","Coyle CM, Wittner M, Kotler DP, Noyer C, Orenstein JM, Tanowitz HB, Weiss LM. Prevalence of microsporidiosis due to Enterocytozoon bieneusi and Encephalitozoon (Septata) intestinalis among patients with AIDS-related diarrhea: determination by polymerase c","AIDS","AIDS","human susceptibility to infection","human susceptibility to infection increase","human susceptibility to infection increase","None","None","None","Unspecified","Unspecified","Taylor et al.","ask author",1,1,1,1,"HED_139.shp",FALSE
"140",140,"HED_140",1,"Enterocytozoon","bieneusi","Unspecified","Unspecified","Unspecified","Haiti","3",1,"ESRICountry00. ""Haiti""","Country name ""Haiti""","yes",1,1,1,"protozoa","fecal-oral transmission; be transmitted by ingestion of contaminated water","ingestion of contaminated foods","indirect contact","ingestion of contaminated water","None","","","None","1985",1985,"1980","Desportes-Livage I, Charpentier Le A, Galian A, Bernard F, Cochand-Priollet B, Lavergne A, Ravisse P, Modiglian R 1985. Occurrence of a new microsporidian Enterocytozoon bieneusi n.g., n.sp., in the enterocytes of a human patient with AIDS. J Protozool 32: 250-254.","","Coyle CM, Wittner M, Kotler DP, Noyer C, Orenstein JM, Tanowitz HB, Weiss LM. Prevalence of microsporidiosis due to Enterocytozoon bieneusi and Encephalitozoon (Septata) intestinalis among patients with AIDS-related diarrhea: determination by polymerase c","AIDS","AIDS","human susceptibility to infection","human susceptibility to infection increase","human susceptibility to infection increase","None","None","cats, pigs, cattle, and a llama","Unspecified","Unspecified","Taylor et al.","ask author",1,1,1,1,"HED_140.shp",FALSE
"141",141,"HED_141",0,"Unspecified","Unspecified","Poliovirus","Unspecified","Unspecified","Afghanistan","3",1,"ESRICountry00. ""Afghanistan""","Country name ""Afghanistan""","no",0,0,0,"virus","principally through fecal-oral route; virus is more easily detectable, and for a longer period, in feces than in throat secretions.  However, where sanitation is good, pharyngeal spread may be relatively more important.  In rare instances, milk, foodstuffs and other materials contaminated with feces have been incriminated as vehicles.  No reliable evidence of spread by insects exists; water and sewage are rarely implicated","ingestion of contaminated water","indirect contact","direct contact usually hands","ingestion of contaminated food","y","","None","May-00",2000,"2000","Minor P. Emerging/disappearing viruses future issues concerning polio eradication. Virus Res. 2002 Jan 30;82(1-2):33-7.","","Minor P. Emerging/disappearing viruses future issues concerning polio eradication. Virus Res. 2002 Jan 30;82(1-2):33-7.","countries in conflict/war","civil unrest","war and famine","war and famine","war and famine","None","None","None","Unspecified","Unspecified","Taylor et al.","",0,0,1,1,"HED_141.shp",FALSE
"142",142,"HED_142",0,"Unspecified","Unspecified","Poliovirus","Unspecified","Unspecified","Angola","3",1,"ESRICountry00. ""Angola""","Country name ""Angola""","no",0,0,0,"virus","principally through fecal-oral route; virus is more easily detectable, and for a longer period, in feces than in throat secretions.  However, where sanitation is good, pharyngeal spread may be relatively more important.  In rare instances, milk, foodstuffs and other materials contaminated with feces have been incriminated as vehicles.  No reliable evidence of spread by insects exists; water and sewage are rarely implicated","ingestion of contaminated water","indirect contact","direct contact usually hands","ingestion of contaminated food","y","","None","May-00",2000,"2000","Minor P. Emerging/disappearing viruses future issues concerning polio eradication. Virus Res. 2002 Jan 30;82(1-2):33-7.","","Minor P. Emerging/disappearing viruses future issues concerning polio eradication. Virus Res. 2002 Jan 30;82(1-2):33-7.","countries in conflict/war","civil unrest","war and famine","war and famine","war and famine","None","None","None","Unspecified","Unspecified","Taylor et al.","",0,0,1,1,"HED_142.shp",FALSE
"143",143,"HED_143",0,"Unspecified","Unspecified","Poliovirus","Unspecified","Unspecified","Democratic Republic of the Congo","3",1,"ESRICountry00. ""Democratic Republic of the Congo""","Country name ""Democratic Republic of the Congo""","no",0,0,0,"virus","principally through fecal-oral route; virus is more easily detectable, and for a longer period, in feces than in throat secretions.  However, where sanitation is good, pharyngeal spread may be relatively more important.  In rare instances, milk, foodstuffs and other materials contaminated with feces have been incriminated as vehicles.  No reliable evidence of spread by insects exists; water and sewage are rarely implicated","ingestion of contaminated water","indirect contact","direct contact usually hands","ingestion of contaminated food","y","","None","May-00",2000,"2000","Minor P. Emerging/disappearing viruses future issues concerning polio eradication. Virus Res. 2002 Jan 30;82(1-2):33-7.","","Minor P. Emerging/disappearing viruses future issues concerning polio eradication. Virus Res. 2002 Jan 30;82(1-2):33-7.","countries in conflict/war","civil unrest","war and famine","war and famine","war and famine","None","None","None","Unspecified","Unspecified","Taylor et al.","",0,0,1,1,"HED_143.shp",FALSE
"144",144,"HED_144",0,"Unspecified","Unspecified","Poliovirus","Unspecified","Unspecified","Somalia","3",1,"ESRICountry00. ""Somalia""","Country name ""Somalia""","no",0,0,0,"virus","principally through fecal-oral route; virus is more easily detectable, and for a longer period, in feces than in throat secretions.  However, where sanitation is good, pharyngeal spread may be relatively more important.  In rare instances, milk, foodstuffs and other materials contaminated with feces have been incriminated as vehicles.  No reliable evidence of spread by insects exists; water and sewage are rarely implicated","ingestion of contaminated water","indirect contact","direct contact usually hands","ingestion of contaminated food","y","","None","May-00",2000,"2000","Minor P. Emerging/disappearing viruses future issues concerning polio eradication. Virus Res. 2002 Jan 30;82(1-2):33-7.","","Minor P. Emerging/disappearing viruses future issues concerning polio eradication. Virus Res. 2002 Jan 30;82(1-2):33-7.","countries in conflict/war","civil unrest","war and famine","war and famine","war and famine","None","None","None","Unspecified","Unspecified","Taylor et al.","",0,0,1,1,"HED_144.shp",FALSE
"145",145,"HED_145",1,"Unspecified","Unspecified","Poliovirus","Unspecified","Unspecified","Darfur, Sudan","3",1,"ESRIAdmin00. ""Darfur, Sudan""","ESRIAdmin00. ""Darfur, Sudan""","no",0,0,0,"virus","principally through fecal-oral route; virus is more easily detectable, and for a longer period, in feces than in throat secretions.  However, where sanitation is good, pharyngeal spread may be relatively more important.  In rare instances, milk, foodstuffs and other materials contaminated with feces have been incriminated as vehicles.  No reliable evidence of spread by insects exists; water and sewage are rarely implicated","ingestion of contaminated water","indirect contact","direct contact usually hands","ingestion of contaminated food","y","","None","2004",2004,"2000","Minor P. Emerging/disappearing viruses future issues concerning polio eradication. Virus Res. 2002 Jan 30;82(1-2):33-7.","","Minor P. Emerging/disappearing viruses future issues concerning polio eradication. Virus Res. 2002 Jan 30;82(1-2):33-7.","countries in conflict/war","civil unrest","war and famine","war and famine","war and famine","None","None","None","Unspecified","Unspecified","Taylor et al.","",0,1,0,0,"HED_145.shp",FALSE
"146",146,"HED_146",1,"Unspecified","Unspecified","Puumala virus","Unspecified","Unspecified","Croatia","3",1,"ESRICountry00. ""Croatia""","Country name ""Croatia""","yes",1,1,4,"virus","aerosol transmission from rodent excreta; nosocomial transmission","aerosol transmission from rodent excreta","direct contact","None","None","","nosocomial","None","Jul-95",1995,"1990","Beslagic E, Cengic D, Beslagic R, Hamzic S. [Serologic verification of epidemic hemorrhagic fever during the lifting of the blockade in Sarajevo] Med Arh. 1996;50(3-4):89-91.","","Lederberg, Shope, et al. (IOM.) Emerging Infections. 1992.","Ecological or environmental changes increasing contact with rodent hosts; human invasion of virus ecological niche","encroachment","human demographics and behavior","encroachment","land use change","None","None","None","Unspecified","Unspecified","Taylor et al.","",1,1,1,1,"HED_146.shp",FALSE
"147",147,"HED_147",1,"Unspecified","Unspecified","Rabies virus","Unspecified","Unspecified","La Gamba, Río Claro, in the Brunca Region of Costa Rica","1",1,"GGv2. ""Gamba, Costa Rica""","GGv2. ""Gamba, Costa Rica""","yes",1,1,3,"virus","Virus-laden saliva of a rabid animal is introduced by a bite or rarely by a scratch (rarely into a fresh break in skin or through intact mucous membranes); airborne spread demonstrated in caves and in laboratory settings","animal scratch","direct contact","airborne spread","None","","","None","Sept. 12, 2001",2001,"2000","Badilla X. Emerg Infect Dis. 2003 Jun; 9(6): 721-3","reemergence","Lederberg, Shope, et al. (IOM.) Emerging Infections. 1992.","immigration of human population through rural areas; changing movements of reservoir host species; absence or failure of rabies control programs","encroachment","human demographics and behavior","encroachment","land use change","breakdown of public health measures","None","Many wild and domestic Canidae, including dogs, foxes, coyotes and wolves; also skunks, raccoons and other biting mammals; cats as alternative host; bats; rabbits, chipmunks, rats and mice are rarely infected","worldwide","Unspecified","Taylor et al.","",1,1,1,0,"HED_147.shp",TRUE
"148",148,"HED_148",1,"Unspecified","Unspecified","Reston Ebola virus","Unspecified","Unspecified","Reston, VA","1",1,"GGv2. ""Reston, US, Virginia""","GGv2. ""Reston, US, Virginia""","yes",1,1,2,"virus","direct","direct contact with infected blood, secretions, organs or semen","direct contact","None","None","","","None","1989",1989,"1980","Lederberg, Shope, et al. (IOM.) Emerging Infections. 1992. Peters and LeDuc 1999. JID 179(Suppl 1):ix","","Lederberg, Shope, et al. (IOM.) Emerging Infections. 1992.","virus-infected monkeys shipped from developing countries via air","wild animals for animal studies","technology and industry","medical industry changes","medical industry changes","None","None","fruit bat or some other small mammal","Unspecified","Unspecified","Taylor et al.","",1,1,1,1,"HED_148.shp",TRUE
"149",149,"HED_149",1,"Unspecified","Unspecified","Rift Valley fever virus","Unspecified","Unspecified","Egypt","3",1,"ESRICountry00. ""Egypt""","ESRICountry00. ""Egypt""","yes",1,1,3,"virus","mosquito-borne","arthropod-borne","vector","None","None","","","mosquito","1977",1977,"1970","JF Saluzzo. Factors in the emergence of arboviruses. 1997. p. 253-64. Scheld EI1","2","Lederberg, Shope, et al. (IOM.) Emerging Infections. 1992. Culliton 1990; Global Issues 1996","importation of infected mosquitoes and/or animals by air; creation of mosquito habitats through dam building and irrigation; Dam construction, irrigation, facilitating spread of mosquito vector (carrier); importation of infected mosquitoes or animals.","dams","economic development and land use","dams/irrigation","land use change","irrigation","travel","Cattle, sheep, goats, dromedaries, several rodents, Wild ruminants, buffaloes, antelopes, wildebeest, etc., Humans are very susceptible (major zoonosis), African monkeys and domestic carnivores present a transitory viraemia","widespread in Africa; initally described in Rift Valley in Kenya","Unspecified","Taylor et al.","",0,0,1,0,"HED_149.shp",TRUE
"150",150,"HED_150",0,"Unspecified","Unspecified","Rift Valley fever virus","Unspecified","Unspecified","Senegal river basin. Nikki rechecked and suggested mapping ""Rosso, Mauritania""","1",1,"GGv2. ""Rosso, Mauritania""","GGv2. ""Rosso, Mauritania""","yes",1,1,3,"virus","mosquito-borne","arthropod-borne","vector","None","None","","","mosquito","1987",1987,"1980","Evans p. 174. Jouan A et al. Bull Soc Path Exot Filiales. 82(5):620. 1989.  Philippe B et al. Bull Soc Path Exot Filiales. 82(5):611. 1989.","2","Evans p. 174","opening of a new dam project","dams","economic development and land use","dams/irrigation","land use change","None","None","Cattle, sheep, goats, dromedaries, several rodents, Wild ruminants, buffaloes, antelopes, wildebeest, etc., Humans are very susceptible (major zoonosis), African monkeys and domestic carnivores present a transitory viraemia","widespread in Africa; initally described in Rift Valley in Kenya","Unspecified","Taylor et al.","",0,0,1,1,"HED_150.shp",TRUE
"151",151,"HED_151",0,"Unspecified","Unspecified","Rift Valley fever virus","Unspecified","Unspecified","Egypt","3",1,"ESRICountry00. ""Egypt""","Country name ""Egypt""","yes",1,1,3,"virus","mosquito-borne","arthropod-borne","vector","None","None","","","mosquito","1993",1993,"1990","Evans p. 174. MMWR. 43:693-700. 1994.","2","Evans p. 174","creation of mosquito habitats through dam building and irrigation; importation of mosquitoes and/or animals","dams","economic development and land use","dams/irrigation","land use change","irrigation","importation of hosts and vectors","Cattle, sheep, goats, dromedaries, several rodents, Wild ruminants, buffaloes, antelopes, wildebeest, etc., Humans are very susceptible (major zoonosis), African monkeys and domestic carnivores present a transitory viraemia","widespread in Africa; initally described in Rift Valley in Kenya","Unspecified","Taylor et al.","",0,0,1,1,"HED_151.shp",TRUE
"152",152,"HED_152",1,"Unspecified","Unspecified","Rocio virus","Unspecified","Unspecified","Sao Paulo State, Brazil","3",1,"ESRIAdmin00. ""Sao Paulo State, Brazil""","ESRIAdmin00. ""Sao Paulo State, Brazil""","yes",1,1,2,"virus","mosquito-borne","arthropod-borne","vector","None","None","","","mosquito","1978",1978,"1970","Gratz 1999","","Gratz 1999","unspecified","unknown","unspecified","unspecified","other","None","None","mice, sparrows","Unspecified","Unspecified","Taylor et al.","",0,1,1,0,"HED_152.shp",TRUE
"153",153,"HED_153",0,"Neisseria","meningitidis","Unspecified","serogroup A termed subgroup III","Unspecified","Northern China. Nikki rechecked and suggested to use ""Ningxia province China""","3",1,"ESRIAdmin00. ""Ningxia province, China""","ESRIAdmin00. ""Ningxia province, China""","no",0,0,0,"bacteria","By direct contact, including droplets and discharges from nose and throat of infected persons, more often carriers than cases; invasion sufficient to cause systemic disease is comparatively rare; carrier prevalence of 25%; indirect contact not significant; Close and prolonged contact (e.g. kissing, sneezing and coughing on someone, living in close quarters or dormitories (military recruits, students), sharing eating or drinking utensils, etc.) facilitate the spread of the disease","direct droplet contact","direct contact","close personal contact including sharing utensils","None","y","","None","mid 1960's",1965,"1960","Achtman M. 1995. Global epidemiology of miningococcal disease. In: Meningococcal disease (ed. K. Cartwright), John Wiley, Chichester, pp. 159-175. Zhu 2001. EJCMID 1989. 8:90. Bull Soc Path Exot 95:323-5 2002 or 2003.","","IOM 2003; http://www.who.int/csr/disease/meningococcal/impact/en/","international travel and commerce; Factors linked to a higher incidence of meningococcal disease include poor living conditions and overcrowded housing, and the impact of the disease is greatest among underprivileged populations. Travel and migration also facilitate the circulation of pathogenic strains inside a country or from country to country and large population movements such as pilgrimages may play a major role in the spread of infection.  Other large population displacements, e.g. those of refugees, may pose similar risks.  Waning herd immunityto a particular strain in a population may be necessary for an outbreak to occur and could contribute to the regularityof epidemic cycles in sub-Saharan Africa","pilgrimages","international travel and commerce","international travel and commerce","international travel and commerce","refugees","travel","None","Unspecified","Unspecified","Taylor et al.","Most recent epidemics have been caused by two pandemic waves (6) of the clonal grouping of serogroup A bacteria that is called subgroup III (5, 7). The first pandemic wave affected China (mid-1960s), northern Europe (Russia and the Scandinavian countries; 1969-mid 1970s), and Brazil (mid- 1970s). A second subgroup III pandemic wave began in China and Nepal in the early 1980s, followed by an epidemic during the annual Hajj pilgrimage to Mecca, Saudi Arabia of 1987. Pilgrims returning from Mecca distributed subgroup III meningococci to most countries of the globe (6, 8). Subgroup III has subsequently caused numerous epidemics throughout Africa (3, 9); in 1996, 150,000 cases of meningococcal disease were reported from Africa (10), most caused by subgroup III (3). Zhu 2001",0,0,1,0,"HED_153.shp",FALSE
"154",154,"HED_154",1,"Neisseria","meningitidis","Unspecified","serogroup W-135","Unspecified","Plain of Arafat (Mecca, Medina, and Jedda, Suadi Arabia)","1",3,"GGv2. ""Makkah, Al Madinah al Munawwarah, Jedda, Saudia Arabia""","GGv2. ""Makkah, Al Madinah al Munawwarah, Jedda, Saudia Arabia""","no",0,0,0,"bacteria","By direct contact, including droplets and discharges from nose and throat of infected persons, more often carriers than cases; invasion sufficient to cause systemic disease is comparatively rare; carrier prevalence of 25%; indirect contact not significant; Close and prolonged contact (e.g. kissing, sneezing and coughing on someone, living in close quarters or dormitories (military recruits, students), sharing eating or drinking utensils, etc.) facilitate the spread of the disease","direct droplet contact","direct contact","close personal contact including sharing utensils","None","y","","None","2000",2000,"2000","Lingappa JR, Al-Rabeah AM, Hajjeh R, Mustafa T, Fatani A, Al-Bassam T, et al. Serogroup W-135 meningococcal disease during the Hajj, 2000. Emerg Infect Dis [serial online] 2003 Jun [date cited]. Available from: URL: http://www.cdc.gov/ncidod/EID/vol9no6/0","","Unspecified","religious pilgrimage (Hajj)","religious pilgrimage","international travel and commerce","international travel and commerce","international travel and commerce","None","None","None","Unspecified","Unspecified","Taylor et al.","Most recent epidemics have been caused by two pandemic waves (6) of the clonal grouping of serogroup A bacteria that is called subgroup III (5, 7). The first pandemic wave affected China (mid-1960s), northern Europe (Russia and the Scandinavian countries; 1969-mid 1970s), and Brazil (mid- 1970s). A second subgroup III pandemic wave began in China and Nepal in the early 1980s, followed by an epidemic during the annual Hajj pilgrimage to Mecca, Saudi Arabia of 1987. Pilgrims returning from Mecca distributed subgroup III meningococci to most countries of the globe (6, 8). Subgroup III has subsequently caused numerous epidemics throughout Africa (3, 9); in 1996, 150,000 cases of meningococcal disease were reported from Africa (10), most caused by subgroup III (3). Zhu 2001",1,1,1,1,"HED_154.shp",FALSE
"155",155,"HED_155",1,"Neisseria","meningitidis","Unspecified","pen-res","Unspecified","Madrid, Spain","1",1,"GGv2. ""Madrid, Spain""","GGv2. ""Madrid, Spain""","no",0,0,0,"bacteria","By direct contact, including droplets and discharges from nose and throat of infected persons, more often carriers than cases; invasion sufficient to cause systemic disease is comparatively rare; carrier prevalence of 25%; indirect contact not significant; Close and prolonged contact (e.g. kissing, sneezing and coughing on someone, living in close quarters or dormitories (military recruits, students), sharing eating or drinking utensils, etc.) facilitate the spread of the disease","direct droplet contact","direct contact","close personal contact including sharing utensils","None","y","","None","Oct-85",1985,"1980","EI 1987 99:463-9; JID 1994 169:438-41","","Unspecified","antibiotic-resistance","antibiotic-resistance","microbial adaptation and change","antimicrobial agent use","antimicrobial agent use","None","None","None","Unspecified","Unspecified","Taylor et al.","Most recent epidemics have been caused by two pandemic waves (6) of the clonal grouping of serogroup A bacteria that is called subgroup III (5, 7). The first pandemic wave affected China (mid-1960s), northern Europe (Russia and the Scandinavian countries; 1969-mid 1970s), and Brazil (mid- 1970s). A second subgroup III pandemic wave began in China and Nepal in the early 1980s, followed by an epidemic during the annual Hajj pilgrimage to Mecca, Saudi Arabia of 1987. Pilgrims returning from Mecca distributed subgroup III meningococci to most countries of the globe (6, 8). Subgroup III has subsequently caused numerous epidemics throughout Africa (3, 9); in 1996, 150,000 cases of meningococcal disease were reported from Africa (10), most caused by subgroup III (3). Zhu 2001",1,1,1,1,"HED_155.shp",FALSE
"156",156,"HED_156",1,"Neisseria","weaveri","Unspecified","Unspecified","Unspecified","Washington state","3",1,"ESRIAdmin00. ""Washington, US""","ESRIAdmin00. ""Washington, US""","yes",1,1,4,"bacteria","from saliva of dog; through dog bite","animal bite","direct contact","None","None","","","None","1960",1960,"1960","Andersen BM, Steigerwalt AG, O'Connor SP, Hollis DG, Weyant RS, Weaver RE, Brenner DJ. Neisseria weaveri sp. nov., formerly CDC group M-5, a gram-negative bacterium associated with dog bite wounds. J Clin Microbiol. 1993 Sep;31(9):2456-66.","","Andersen BM, Steigerwalt AG, O'Connor SP, Hollis DG, Weyant RS, Weaver RE, Brenner DJ. Neisseria weaveri sp. nov., formerly CDC group M-5, a gram-negative bacterium associated with dog bite wounds. J Clin Microbiol. 1993 Sep;31(9):2456-66.","new pathogen from dog bites; increased recognition","increased recognition","technology and industry","medical industry changes","medical industry changes","increased dog-human contact","None","None","Unspecified","Unspecified","Unspecified","",0,1,1,0,"HED_156.shp",FALSE
"157",157,"HED_157",1,"Nocardia","veterana","Unspecified","Unspecified","Unspecified","Austin & Repatriation Medical Center (Austin Campus), Studley Road, Heidelberg, Vic. 3084, Australia","1",1,"GGv2. ""Heidelberg, Australia, Victoria""","GGv2. ""Heidelberg, Australia, Victoria""","no",0,0,0,"bacteria","inhalation of contaminated dust","dust inhalation","indirect contact","None","None","","","None","2001",2001,"2000","Gurtler V, Smith R, Mayall BC, Potter-Reinemann G, Stackebrandt E, Kroppenstedt RM. Nocardia veterana sp. nov., isolated from human bronchial lavage. Int J Syst Evol Microbiol. 2001 May;51(Pt 3):933-6.","","Pottumarthy S, Limaye AP, Prentice JL, Houze YB, Swanzy SR, Cookson BT. Nocardia veterana, a new emerging pathogen. J Clin Microbiol. 2003 Apr;41(4):1705-9.","immunosuppression","immunosuppression","human susceptibility to infection","human susceptibility to infection increase","human susceptibility to infection increase","None","None","None","Unspecified","Unspecified","Unspecified","",1,1,1,0,"HED_157.shp",FALSE
"158",158,"HED_158",0,"Orientia","tsutsugamushi","Unspecified","Unspecified","Unspecified","Niigata and Akita prefectures","3",2,"ESRIAdmin00. ""Chubu, Tohoku, Japan""","ESRIAdmin00. ""Chubu, Tohoku, Japan""","yes",1,1,4,"bacteria","mite-borne","arthropod-borne","vector","None","None","n","","mite","1969",1969,"1960","Watt 2003, Matsui T Jap. JID 55:197-203 2002. Philip CB. 1948. Tsutsugamushi disease (scrub typhus) in WW2. Journal of Parasitology. 34:169-91. Berman SJ et al. 1973. Epidemiology of the acute feveres of unknown origin in South Vietnam: effect of laboratory supprt opon clinical diagnosis. AJTMH. 22:7","","Lederberg, J., R. E. Shope, and S. C. Oaks (ed.). 1992. Emerging infections: microbial threats to health in the United States. National Academy Press, Washington, D.C. Watt 2003","major medical problem (surpassed only by malaria in some areas) in the Pacific Theater in both WW1 and WW2 and the Vietnam conflict; Many cases have been acquired during clearing of land, logging, road building, and military operations.","military","international travel and commerce","war and famine","war and famine","deforestation","road building","Infected larval stages of trombiculid mites","Unspecified","Unspecified","Pottumarthy, S., Limaye, A. P., Prentice, J. L., Houze, Y. B., Swanzy, S. R., Cookson, B. T. (2003). Nocardia veterana, a New Emerging Pathogen. J. Clin. Microbiol. 41: 1705-1709","",0,0,1,0,"HED_158.shp",FALSE
"159",159,"HED_159",0,"Orientia","tsutsugamushi","Unspecified","Unspecified","Unspecified","Nan Peng Lie Islands in China.","1",1,"traveljournals.net. ""Nanpeng Liedao, China""","traveljournals.net. ""Nanpeng Liedao, China""","yes",1,1,4,"bacteria","mite-borne","arthropod-borne","vector","None","None","n","","mite","2002",2002,"2000","Ye GC. Misdiagnoses of epidemic on tsutsugamushi disease. Chin J Zoon. 1997. 13:51-53.","","Lederberg, J., R. E. Shope, and S. C. Oaks (ed.). 1992. Emerging infections: microbial threats to health in the United States. National Academy Press, Washington, D.C. Watt 2003","major medical problem (surpassed only by malaria in some areas) in the Pacific Theater in both WW1 and WW2 and the Vietnam conflict; Many cases have been acquired during clearing of land, logging, road building, and military operations.","military","international travel and commerce","war and famine","war and famine","deforestation","road building","Infected larval stages of trombiculid mites","Unspecified","Unspecified","Unspecified","",0,0,1,0,"HED_159.shp",FALSE
"160",160,"HED_160",1,"Orientia","tsutsugamushi","Unspecified","Unspecified","Unspecified","foothills of Mt. Fuji","1",1,"traveljournals.net. ""Mount Fuji""","traveljournals.net. ""Mount Fuji""","yes",1,1,4,"bacteria","mite-borne","arthropod-borne","vector","None","None","n","","mite","fall 1948",1948,"1940","Philip CB. 1948. Tsutsugamushi disease (scrub typhus) in WW2. Journal of Parasitology. 34:169-91. Berman SJ et al. 1973. Epidemiology of the acute feveres of unknown origin in South Vietnam: effect of laboratory supprt opon clinical diagnosis. AJTMH. 22:796-801. IASR The Topic of This Month Vol.18 No.9(No.211) Scrub typhus (Tsutsugamushi disease), Japan, 1991-1995","","Lederberg, J., R. E. Shope, and S. C. Oaks (ed.). 1992. Emerging infections: microbial threats to health in the United States. National Academy Press, Washington, D.C. The Topic of This Month Vol.22 No.9(No.259) Scrub typhus (tsutsugamushi disease) in Japan, 1996-2000 (IASR 2001; 22: 211-212)","major medical problem (surpassed only by malaria in some areas) in the Pacific Theater in both WW1 and WW2 and the Vietnam conflict; war and movement of troops; A new type of tsutsugamushi disease transmitted by L. pallidum or L. scutellare was discovered after World War II and its incidents have been reported all over Japan except a few prefectures such as Hokkaido and Okinawa","military","international travel and commerce","war and famine","war and famine","None","None","Infected larval stages of trombiculid mites","Unspecified","Unspecified","Unspecified","",1,1,1,0,"HED_160.shp",FALSE
"161",161,"HED_161",1,"Pseudomonas","aeruginosa","Unspecified","fluoroquinolone-res","Unspecified","Stamford, CT","1",1,"GGv2. ""Stamford, US, Connecticut""","GGv2. ""Stamford, US, Connecticut""","yes",0,0,0,"bacteria","Contact with discharges from the conjunctivae or upper respiratory tracts of infected people; from contaminated fingers, clothing or other articles, including shared eye makeup applicators, multiple dose eye medications and inadequately sterilized instruments such as tonometers.  The organisms may be mechanically transmitted by eye gnats or flies in some areas, but the importance as vectors is undetermined and probably differs from area to area.  Direct contact with contaminated water, aerosols or aspirations, by contact of mucous membranes with discharges from infected conjunctivae or upper respiratory tract of infected persons through contaminated objects (improperly sterilized medical equipment, contaminated IV fluids) or fingers","contact with discharges from the conjunctivae or upper respiratory tracts of infected people","direct contact","fomites","mechanical vectors","","","None","1987",1987,"1980","Parry MF, Panzer KB, Yukna ME. Quinolone resistance. Susceptibility data from a 300-bed community hospital. Am J Med. 1989 Nov 30;87(5A):12S-16S.","","Ong CT, Kuti JL, Nightingale CH, Nicolau DP. Emerging Pseudomonas aeruginosa resistance: implications in clinical practice. Conn Med. 2004 Jan;68(1):11-5.","fluoroquinolone utilization","antibiotic-resistance","microbial adaptation and change","antimicrobial agent use","antimicrobial agent use","None","None","None","Unspecified","Unspecified","Taylor et al.; Ong CT, Kuti JL, Nightingale CH, Nicolau DP. Emerging Pseudomonas aeruginosa resistance: implications in clinical practice. Conn Med. 2004 Jan;68(1):11-5.  CDC. SEMIANNUAL REPORT Aggregated Data from the National Nosocomial Infections Surveillance (NNIS) System December 1999","",1,1,1,1,"HED_161.shp",FALSE
"162",162,"HED_162",1,"Pseudomonas","aeruginosa","Unspecified","ceftazidimide-res","Unspecified","Hygeine Institute of Frankfurt, Germany","1",1,"GGv2. ""Frankfurt, Germany, Land Brandenburg""","GGv2. ""Frankfurt, Germany, Land Brandenburg""","yes",0,0,0,"bacteria","Contact with discharges from the conjunctivae or upper respiratory tracts of infected people; from contaminated fingers, clothing or other articles, including shared eye makeup applicators, multiple dose eye medications and inadequately sterilized instruments such as tonometers.  The organisms may be mechanically transmitted by eye gnats or flies in some areas, but the importance as vectors is undetermined and probably differs from area to area.  Direct contact with contaminated water, aerosols or aspirations, by contact of mucous membranes with discharges from infected conjunctivae or upper respiratory tract of infected persons through contaminated objects (improperly sterilized medical equipment, contaminated IV fluids) or fingers","contact with discharges from the conjunctivae or upper respiratory tracts of infected people","direct contact","fomites","mechanical vectors","","","None","1985",1985,"1980","Knothe H, Antal M, Krcmery V.  Imipenem and ceftazidime resistance in Pseudomonas aeruginosa and Klebsiella pneumoniae. J Antimicrob Chemother. 1987 Jan;19(1):136-8.","","Unspecified","antibiotic-resistance","antibiotic-resistance","microbial adaptation and change","antimicrobial agent use","antimicrobial agent use","None","None","None","Unspecified","Unspecified","Taylor et al.; Ong CT, Kuti JL, Nightingale CH, Nicolau DP. Emerging Pseudomonas aeruginosa resistance: implications in clinical practice. Conn Med. 2004 Jan;68(1):11-5.  CDC. SEMIANNUAL REPORT Aggregated Data from the National Nosocomial Infections Surveillance (NNIS) System December 1999","",1,1,1,1,"HED_162.shp",FALSE
